YYYYWww,QTY
2018W53,160
2018W52,207
2019W01,146
2019W09,124
2019W06,52
2019W02,6
2019W13,156
2019W05,174
2019W07,16
2019W03,96
2019W04,90
2019W21,33
2019W22,155
2019W15,86
2019W23,48
2019W08,85
2019W33,56
2019W28,30
2019W10,106
2019W14,234
2019W12,88
2019W11,5
2019W29,41
2019W32,32
2019W41,46
2019W17,56
2019W25,58
2019W27,141
2019W36,17
2019W18,132
2019W16,14
2019W19,32
2019W37,50
2019W24,44
2019W26,198
2019W43,71
2019W45,40
2019W20,4
2019W31,106
2017W50,129
2018W21,97
2020W31,110
2017W46,20
2018W19,28
2018W08,27
2017W47,20
2018W20,81
2017W49,13
2018W23,69
2017W48,16
2017W51,9
2018W04,1
2018W09,10
2018W24,47
2018W07,3
2018W12,192
2018W36,22
2018W35,121
2018W02,2
2018W25,54
2018W03,1
2018W28,37
2018W15,65
2018W39,161
2018W11,53
2018W31,148
2018W33,29
2018W10,9
2018W30,32
2018W49,109
2018W18,49
2018W17,60
2018W14,65
2018W40,137
2018W13,379
2018W22,121
2018W45,16
2018W37,27
2018W44,116
2018W16,22
2018W26,197
2018W27,65
2018W34,50
2018W50,153
2018W29,29
2018W47,31
2018W38,66
2018W32,11
2018W42,69
2018W46,37
2018W41,17
2018W43,36
2018W48,86
2018W51,115
2019W30,60
2019W35,152
2019W50,121
2019W51,144
2019W34,113
2019W40,200
2020W07,16
2019W49,91
2019W39,130
2020W06,15
2019W48,108
2019W38,56
2019W44,143
2020W03,125
2019W47,41
2019W46,24
2019W42,28
2020W05,104
2019W52,136
2019W53,160
2020W08,89
2020W04,54
2020W17,29
2020W14,57
2020W02,11
2020W09,105
2020W32,37
2020W13,45
2020W11,22
2020W01,18
2020W12,39
2020W24,11
2020W33,13
2020W22,92
2020W10,15
2020W15,17
2020W16,82
2020W27,178
2020W35,58
2020W26,121
2020W18,49
2020W20,23
2020W19,16
2020W23,26
2020W21,25
2020W25,36
2020W30,106
2020W50,54
2020W28,89
2020W29,100
2020W47,71
2020W49,76
2021W06,5
2020W51,76
2020W34,15
2020W40,71
2020W43,15
2020W41,4
2020W36,15
2020W37,23
2020W44,35
2020W39,8
2020W53,40
2020W38,43
2020W42,10
2020W48,16
2020W46,10
2021W05,21
2020W45,4
2020W52,38
2021W02,9
2021W03,2
2021W01,2
2021W04,5
2021W10,1
2021W11,1
2021W18,2
